id;ano;mes;dia;dia_semana;hora;aisp;municipio;bairro;latitude;longitude;natureza;idade;f_etaria;sexo;raca_cor;orientacao_sexual;id_vitima;populacao
202534854;2025;1;9;4;10;11 AISP - Cascavel;CASCAVEL;CATARATAS;-24,9537975;-53,45972218;Crimes Violentos Letais Intencionais (CVLI);33 anos;25 ~ 59 anos (Adulto);Masculino;Nao Informado;Nao Informado;34019;348051
202534854;2025;1;9;4;10;11 AISP - Cascavel;CASCAVEL;CATARATAS;-24,9537975;-53,45972218;Homicidio Doloso (homicidio simples e qualificado e homicidio doloso no transito);33 anos;25 ~ 59 anos (Adulto);Masculino;Nao Informado;Nao Informado;10981;348051
202537622;2025;1;9;4;22;02 AISP - Sao Jose dos Pinhais;CAMPO LARGO;OURO VERDE;-25,4594905;-49,52884145;Crimes Violentos Letais Intencionais (CVLI);25 anos;25 ~ 59 anos (Adulto);Masculino;Parda;Nao Informado;33778;136327
202537622;2025;1;9;4;22;02 AISP - Sao Jose dos Pinhais;CAMPO LARGO;OURO VERDE;-25,4594905;-49,52884145;Homicidio Doloso (homicidio simples e qualificado e homicidio doloso no transito);25 anos;25 ~ 59 anos (Adulto);Masculino;Parda;Nao Informado;10767;136327
202537926;2025;1;9;4;23;23 AISP - Jacarezinho;SANTO ANTONIO DA PLATINA;VILA RIBEIRO;-23,29704883;-50,0773459;Morte por Intervencao Legal de Agente do Estado - MILAE;30 anos;25 ~ 59 anos (Adulto);Masculino;Parda;Nao Informado;21531;44369
202539295;2025;1;10;5;1;01 AISP - Curitiba;CURITIBA;TATUQUARA;-25,432956;-49,27184789;Crimes Violentos Letais Intencionais (CVLI);25 anos;25 ~ 59 anos (Adulto);Masculino;Parda;Heterossexual;34587;1773733
202539295;2025;1;10;5;1;01 AISP - Curitiba;CURITIBA;TATUQUARA;-25,432956;-49,27184789;Homicidio Doloso (homicidio simples e qualificado e homicidio doloso no transito);25 anos;25 ~ 59 anos (Adulto);Masculino;Parda;Heterossexual;11462;1773733
202540811;2025;1;10;5;12;07 AISP - Guarapuava;GUARAPUAVA;JD DAS AMERICAS;-25,39359198;-51,46343108;Praticar Homicidio Culposo na Direcao de Veiculo;Nao Informado;Nao Informado;Feminino;Parda;Nao Informado;18875;182093
202540811;2025;1;10;5;12;07 AISP - Guarapuava;GUARAPUAVA;JD DAS AMERICAS;-25,39359198;-51,46343108;Praticar Homicidio Culposo na Direcao de Veiculo;40 anos;25 ~ 59 anos (Adulto);Feminino;Parda;Nao Informado;19131;182093
202540811;2025;1;10;5;12;07 AISP - Guarapuava;GUARAPUAVA;JD DAS AMERICAS;-25,39359198;-51,46343108;Praticar Homicidio Culposo na Direcao de Veiculo;53 anos;25 ~ 59 anos (Adulto);Masculino;Parda;Nao Informado;19126;182093
